ticker,trade_date,close,adj_close
THYAO,2026-06-10,295.5,295.5
THYAO,2026-06-11,293.25,293.25
THYAO,2026-06-12,307.75,307.75
THYAO,2026-06-15,325.75,325.75
THYAO,2026-06-16,326.5,326.5
THYAO,2026-06-17,321.75,321.75
THYAO,2026-06-18,328.5,328.5
THYAO,2026-06-19,326.75,326.75
THYAO,2026-06-22,324.75,324.75
THYAO,2026-06-23,325.0,325.0
THYAO,2026-06-24,324.75,324.75
THYAO,2026-06-25,328.5,328.5
THYAO,2026-06-26,330.75,330.75
THYAO,2026-06-29,329.0,329.0
THYAO,2026-06-30,326.0,326.0
THYAO,2026-07-01,328.5,328.5
THYAO,2026-07-02,333.25,333.25
THYAO,2026-07-03,334.0,334.0
THYAO,2026-07-06,347.0,347.0
THYAO,2026-07-07,348.25,348.25
THYAO,2026-07-08,332.0,332.0
THYAO,2026-07-09,338.25,338.25
THYAO,2026-07-10,344.5,344.5
THYAO,2026-07-13,333.5,333.5
THYAO,2026-07-14,326.0,326.0
THYAO,2026-07-16,330.0,330.0
THYAO,2026-07-17,329.5,329.5
THYAO,2026-07-20,328.0,328.0
THYAO,2026-07-21,317.5,317.5
THYAO,2026-07-22,321.0,321.0
THYAO,2026-07-23,312.75,312.75
THYAO,2026-07-24,312.0,312.0
THYAO,2026-07-27,318.0,318.0
THYAO,2026-07-28,319.0,319.0
THYAO,2026-07-29,313.25,313.25
THYAO,2026-07-30,308.25,308.25
THYAO,2026-07-31,314.0,314.0
THYAO,2026-08-03,317.0,317.0
THYAO,2026-08-04,323.75,323.75
THYAO,2026-08-05,314.0,314.0
THYAO,2026-08-06,311.25,311.25
THYAO,2026-08-07,306.25,306.25
THYAO,2026-08-10,303.0,303.0
THYAO,2026-08-11,301.0,301.0
THYAO,2026-08-12,308.75,308.75
THYAO,2026-08-13,308.0,308.0
THYAO,2026-08-14,305.25,305.25
THYAO,2026-08-17,301.0,301.0
THYAO,2026-08-18,300.5,300.5
THYAO,2026-08-19,301.25,301.25
THYAO,2026-08-20,301.25,301.25
THYAO,2026-08-21,301.0,301.0
THYAO,2026-08-24,300.5,300.5
THYAO,2026-08-25,302.5,302.5
THYAO,2026-08-26,308.5,308.5
THYAO,2026-08-27,307.25,307.25
THYAO,2026-08-28,307.5,307.5
THYAO,2026-08-31,302.25,302.25
THYAO,2026-09-01,301.5,301.5
THYAO,2026-09-02,291.5,291.5
THYAO,2026-09-03,291.5,291.5
THYAO,2026-09-04,296.0,296.0
THYAO,2026-09-08,305.0,305.0
