ticker,trade_date,close,adj_close
TOASO,2026-06-10,290.0,290.0
TOASO,2026-06-11,283.0,283.0
TOASO,2026-06-12,295.5,295.5
TOASO,2026-06-15,315.25,315.25
TOASO,2026-06-16,324.0,324.0
TOASO,2026-06-17,329.25,329.25
TOASO,2026-06-18,332.0,332.0
TOASO,2026-06-19,327.75,327.75
TOASO,2026-06-22,331.75,331.75
TOASO,2026-06-23,345.0,345.0
TOASO,2026-06-24,341.0,341.0
TOASO,2026-06-25,335.5,335.5
TOASO,2026-06-26,325.0,325.0
TOASO,2026-06-29,313.5,313.5
TOASO,2026-06-30,308.0,308.0
TOASO,2026-07-01,305.0,305.0
TOASO,2026-07-02,306.25,306.25
TOASO,2026-07-03,302.0,302.0
TOASO,2026-07-06,301.5,301.5
TOASO,2026-07-07,299.0,299.0
TOASO,2026-07-08,297.75,297.75
TOASO,2026-07-09,295.0,295.0
TOASO,2026-07-10,302.75,302.75
TOASO,2026-07-13,301.5,301.5
TOASO,2026-07-14,295.0,295.0
TOASO,2026-07-16,305.0,305.0
TOASO,2026-07-17,307.75,307.75
TOASO,2026-07-20,301.75,301.75
TOASO,2026-07-21,300.0,300.0
TOASO,2026-07-22,297.5,297.5
TOASO,2026-07-23,286.25,286.25
TOASO,2026-07-24,281.0,281.0
TOASO,2026-07-27,272.5,272.5
TOASO,2026-07-28,264.25,264.25
TOASO,2026-07-29,271.75,271.75
TOASO,2026-07-30,260.5,260.5
TOASO,2026-07-31,272.5,272.5
TOASO,2026-08-03,272.0,272.0
TOASO,2026-08-04,272.5,272.5
TOASO,2026-08-05,262.75,262.75
TOASO,2026-08-06,257.0,257.0
TOASO,2026-08-07,263.0,263.0
TOASO,2026-08-10,264.25,264.25
TOASO,2026-08-11,267.0,267.0
TOASO,2026-08-12,268.25,268.25
TOASO,2026-08-13,269.75,269.75
TOASO,2026-08-14,268.5,268.5
TOASO,2026-08-17,266.75,266.75
TOASO,2026-08-18,265.5,265.5
TOASO,2026-08-19,270.0,270.0
TOASO,2026-08-20,271.0,271.0
TOASO,2026-08-21,281.25,281.25
TOASO,2026-08-24,277.25,277.25
TOASO,2026-08-25,275.0,275.0
TOASO,2026-08-26,275.25,275.25
TOASO,2026-08-27,273.5,273.5
TOASO,2026-08-28,272.0,272.0
TOASO,2026-08-31,271.25,271.25
TOASO,2026-09-01,268.0,268.0
TOASO,2026-09-02,260.5,260.5
TOASO,2026-09-03,260.5,260.5
TOASO,2026-09-04,274.25,274.25
TOASO,2026-09-08,291.75,291.75
