ticker,trade_date,close,adj_close
MGROS,2026-06-10,668.0,668.0
MGROS,2026-06-11,666.5,666.5
MGROS,2026-06-12,672.5,672.5
MGROS,2026-06-15,699.0,699.0
MGROS,2026-06-16,698.5,698.5
MGROS,2026-06-17,681.0,681.0
MGROS,2026-06-18,698.0,698.0
MGROS,2026-06-19,687.0,687.0
MGROS,2026-06-22,684.5,684.5
MGROS,2026-06-23,696.5,696.5
MGROS,2026-06-24,697.5,697.5
MGROS,2026-06-25,694.0,694.0
MGROS,2026-06-26,688.5,688.5
MGROS,2026-06-29,672.0,672.0
MGROS,2026-06-30,669.5,669.5
MGROS,2026-07-01,659.0,659.0
MGROS,2026-07-02,629.5,629.5
MGROS,2026-07-03,632.5,632.5
MGROS,2026-07-06,639.0,639.0
MGROS,2026-07-07,648.5,648.5
MGROS,2026-07-08,639.5,639.5
MGROS,2026-07-09,626.0,626.0
MGROS,2026-07-10,625.5,625.5
MGROS,2026-07-13,626.0,626.0
MGROS,2026-07-14,608.0,608.0
MGROS,2026-07-16,627.0,627.0
MGROS,2026-07-17,635.5,635.5
MGROS,2026-07-20,649.5,649.5
MGROS,2026-07-21,636.0,636.0
MGROS,2026-07-22,639.0,639.0
MGROS,2026-07-23,630.5,630.5
MGROS,2026-07-24,623.0,623.0
MGROS,2026-07-27,625.0,625.0
MGROS,2026-07-28,634.0,634.0
MGROS,2026-07-29,628.5,628.5
MGROS,2026-07-30,623.0,623.0
MGROS,2026-07-31,625.5,625.5
MGROS,2026-08-03,610.5,610.5
MGROS,2026-08-04,629.0,629.0
MGROS,2026-08-05,631.0,631.0
MGROS,2026-08-06,626.0,626.0
MGROS,2026-08-07,654.5,654.5
MGROS,2026-08-10,658.0,658.0
MGROS,2026-08-11,630.0,630.0
MGROS,2026-08-12,572.0,572.0
MGROS,2026-08-13,552.0,552.0
MGROS,2026-08-14,555.0,555.0
MGROS,2026-08-17,562.0,562.0
MGROS,2026-08-18,568.0,568.0
MGROS,2026-08-19,573.0,573.0
MGROS,2026-08-20,562.5,562.5
MGROS,2026-08-21,573.0,573.0
MGROS,2026-08-24,565.0,565.0
MGROS,2026-08-25,555.5,555.5
MGROS,2026-08-26,558.5,558.5
MGROS,2026-08-27,563.0,563.0
MGROS,2026-08-28,558.0,558.0
MGROS,2026-08-31,533.5,533.5
MGROS,2026-09-01,529.0,529.0
MGROS,2026-09-02,525.0,525.0
MGROS,2026-09-03,516.0,516.0
MGROS,2026-09-04,527.0,527.0
MGROS,2026-09-08,539.0,539.0
