ticker,trade_date,close,adj_close
CMENT,2026-06-17,285.0,285.0
CMENT,2026-06-18,290.25,290.25
CMENT,2026-06-19,288.0,288.0
CMENT,2026-06-22,290.25,290.25
CMENT,2026-06-23,287.5,287.5
CMENT,2026-06-24,282.0,282.0
CMENT,2026-06-25,279.5,279.5
CMENT,2026-06-26,286.0,286.0
CMENT,2026-06-29,279.25,279.25
CMENT,2026-06-30,274.5,274.5
CMENT,2026-07-01,301.75,301.75
CMENT,2026-07-02,296.25,296.25
CMENT,2026-07-03,322.0,322.0
CMENT,2026-07-06,304.25,304.25
CMENT,2026-07-07,299.75,299.75
CMENT,2026-07-08,286.25,286.25
CMENT,2026-07-09,287.25,287.25
CMENT,2026-07-10,296.25,296.25
CMENT,2026-07-13,303.75,303.75
CMENT,2026-07-14,295.0,295.0
CMENT,2026-07-16,300.0,300.0
CMENT,2026-07-17,298.0,298.0
CMENT,2026-07-20,294.25,294.25
CMENT,2026-07-21,290.0,290.0
CMENT,2026-07-22,290.0,290.0
CMENT,2026-07-23,285.0,285.0
CMENT,2026-07-24,292.25,292.25
CMENT,2026-07-27,283.0,283.0
CMENT,2026-07-28,279.75,279.75
CMENT,2026-07-29,278.0,278.0
CMENT,2026-07-30,274.0,274.0
CMENT,2026-07-31,279.75,279.75
CMENT,2026-08-03,279.75,279.75
CMENT,2026-08-04,279.75,279.75
CMENT,2026-08-05,278.25,278.25
CMENT,2026-08-06,272.75,272.75
CMENT,2026-08-07,279.5,279.5
CMENT,2026-08-10,275.75,275.75
CMENT,2026-08-11,278.0,278.0
CMENT,2026-08-12,270.0,270.0
CMENT,2026-08-13,271.0,271.0
CMENT,2026-08-14,274.0,274.0
CMENT,2026-08-17,274.0,274.0
CMENT,2026-08-18,273.5,273.5
CMENT,2026-08-19,271.0,271.0
CMENT,2026-08-20,268.0,268.0
CMENT,2026-08-21,270.0,270.0
CMENT,2026-08-24,270.75,270.75
CMENT,2026-08-25,270.25,270.25
CMENT,2026-08-26,268.0,268.0
CMENT,2026-08-27,260.0,260.0
CMENT,2026-08-28,263.0,263.0
CMENT,2026-08-31,263.0,263.0
CMENT,2026-09-01,262.0,262.0
CMENT,2026-09-02,257.0,257.0
CMENT,2026-09-03,253.75,253.75
CMENT,2026-09-04,252.5,252.5
CMENT,2026-09-08,243.3000030517578,243.3000030517578
CMENT,2026-09-09,242.60000610351562,242.60000610351562
CMENT,2026-09-10,240.0,240.0
CMENT,2026-09-11,248.89999389648438,248.89999389648438
CMENT,2026-09-14,244.5,244.5
CMENT,2026-09-15,250.0,250.0
