ticker,trade_date,close,adj_close
BRSAN,2026-06-10,619.0,619.0
BRSAN,2026-06-11,616.0,616.0
BRSAN,2026-06-12,621.5,621.5
BRSAN,2026-06-15,640.0,640.0
BRSAN,2026-06-16,618.5,618.5
BRSAN,2026-06-17,614.0,614.0
BRSAN,2026-06-18,621.5,621.5
BRSAN,2026-06-19,608.0,608.0
BRSAN,2026-06-22,611.5,611.5
BRSAN,2026-06-23,587.5,587.5
BRSAN,2026-06-24,578.0,578.0
BRSAN,2026-06-25,548.5,548.5
BRSAN,2026-06-26,544.0,544.0
BRSAN,2026-06-29,570.0,570.0
BRSAN,2026-06-30,565.0,565.0
BRSAN,2026-07-01,560.5,560.5
BRSAN,2026-07-02,557.0,557.0
BRSAN,2026-07-03,567.5,567.5
BRSAN,2026-07-06,559.0,559.0
BRSAN,2026-07-07,552.0,552.0
BRSAN,2026-07-08,529.5,529.5
BRSAN,2026-07-09,525.5,525.5
BRSAN,2026-07-10,536.0,536.0
BRSAN,2026-07-13,529.5,529.5
BRSAN,2026-07-14,550.0,550.0
BRSAN,2026-07-16,575.5,575.5
BRSAN,2026-07-17,549.5,549.5
BRSAN,2026-07-20,550.0,550.0
BRSAN,2026-07-21,564.0,564.0
BRSAN,2026-07-22,565.0,565.0
BRSAN,2026-07-23,557.5,557.5
BRSAN,2026-07-24,570.5,570.5
BRSAN,2026-07-27,561.5,561.5
BRSAN,2026-07-28,566.0,566.0
BRSAN,2026-07-29,536.0,536.0
BRSAN,2026-07-30,528.0,528.0
BRSAN,2026-07-31,521.5,521.5
BRSAN,2026-08-03,532.0,532.0
BRSAN,2026-08-04,552.5,552.5
BRSAN,2026-08-05,575.5,575.5
BRSAN,2026-08-06,583.0,583.0
BRSAN,2026-08-07,572.0,572.0
BRSAN,2026-08-10,629.0,629.0
BRSAN,2026-08-11,632.0,632.0
BRSAN,2026-08-12,629.0,629.0
BRSAN,2026-08-13,628.0,628.0
BRSAN,2026-08-14,663.0,663.0
BRSAN,2026-08-17,656.0,656.0
BRSAN,2026-08-18,633.5,633.5
BRSAN,2026-08-19,679.0,679.0
BRSAN,2026-08-20,694.0,694.0
BRSAN,2026-08-21,690.5,690.5
BRSAN,2026-08-24,753.0,753.0
BRSAN,2026-08-25,722.0,722.0
BRSAN,2026-08-26,706.0,706.0
BRSAN,2026-08-27,732.0,732.0
BRSAN,2026-08-28,726.5,726.5
BRSAN,2026-08-31,724.0,724.0
BRSAN,2026-09-01,707.0,707.0
BRSAN,2026-09-02,694.5,694.5
BRSAN,2026-09-03,688.0,688.0
BRSAN,2026-09-04,715.5,715.5
BRSAN,2026-09-08,728.5,728.5
