ticker,trade_date,close,adj_close
GRSEL,2026-06-16,318.75,318.75
GRSEL,2026-06-17,313.0,313.0
GRSEL,2026-06-18,314.5,314.5
GRSEL,2026-06-19,308.25,308.25
GRSEL,2026-06-22,305.0,305.0
GRSEL,2026-06-23,302.5,302.5
GRSEL,2026-06-24,308.0,308.0
GRSEL,2026-06-25,312.5,312.5
GRSEL,2026-06-26,307.0,307.0
GRSEL,2026-06-29,305.5,305.5
GRSEL,2026-06-30,306.0,306.0
GRSEL,2026-07-01,306.0,306.0
GRSEL,2026-07-02,306.0,306.0
GRSEL,2026-07-03,308.0,308.0
GRSEL,2026-07-06,302.0,302.0
GRSEL,2026-07-07,304.75,304.75
GRSEL,2026-07-08,297.25,297.25
GRSEL,2026-07-09,295.75,295.75
GRSEL,2026-07-10,300.25,300.25
GRSEL,2026-07-13,308.5,308.5
GRSEL,2026-07-14,318.0,318.0
GRSEL,2026-07-16,318.0,318.0
GRSEL,2026-07-17,315.75,315.75
GRSEL,2026-07-20,319.0,319.0
GRSEL,2026-07-21,326.0,326.0
GRSEL,2026-07-22,322.25,322.25
GRSEL,2026-07-23,318.0,318.0
GRSEL,2026-07-24,348.75,348.75
GRSEL,2026-07-27,344.0,344.0
GRSEL,2026-07-28,353.5,353.5
GRSEL,2026-07-29,363.0,363.0
GRSEL,2026-07-30,360.0,360.0
GRSEL,2026-07-31,356.0,356.0
GRSEL,2026-08-03,348.75,348.75
GRSEL,2026-08-04,341.75,341.75
GRSEL,2026-08-05,340.75,340.75
GRSEL,2026-08-06,342.25,342.25
GRSEL,2026-08-07,339.5,339.5
GRSEL,2026-08-10,345.0,345.0
GRSEL,2026-08-11,350.0,350.0
GRSEL,2026-08-12,351.25,351.25
GRSEL,2026-08-13,350.25,350.25
GRSEL,2026-08-14,348.0,348.0
GRSEL,2026-08-17,343.0,343.0
GRSEL,2026-08-18,338.5,338.5
GRSEL,2026-08-19,328.5,328.5
GRSEL,2026-08-20,328.75,328.75
GRSEL,2026-08-21,318.5,318.5
GRSEL,2026-08-24,320.75,320.75
GRSEL,2026-08-25,317.5,317.5
GRSEL,2026-08-26,318.0,318.0
GRSEL,2026-08-27,315.5,315.5
GRSEL,2026-08-28,315.5,315.5
GRSEL,2026-08-31,300.0,300.0
GRSEL,2026-09-01,300.0,300.0
GRSEL,2026-09-02,304.25,304.25
GRSEL,2026-09-03,302.0,302.0
GRSEL,2026-09-04,298.0,298.0
GRSEL,2026-09-08,296.0,296.0
GRSEL,2026-09-09,300.0,300.0
GRSEL,2026-09-10,298.5,298.5
GRSEL,2026-09-11,298.5,298.5
GRSEL,2026-09-14,295.0,295.0
