ticker,trade_date,close,adj_close
MPARK,2026-06-10,446.0,446.0
MPARK,2026-06-11,438.0,438.0
MPARK,2026-06-12,442.5,442.5
MPARK,2026-06-15,452.5,452.5
MPARK,2026-06-16,429.75,429.75
MPARK,2026-06-17,426.25,426.25
MPARK,2026-06-18,442.5,442.5
MPARK,2026-06-19,454.25,454.25
MPARK,2026-06-22,452.0,452.0
MPARK,2026-06-23,446.0,446.0
MPARK,2026-06-24,437.0,437.0
MPARK,2026-06-25,426.5,426.5
MPARK,2026-06-26,426.0,426.0
MPARK,2026-06-29,432.75,432.75
MPARK,2026-06-30,430.0,430.0
MPARK,2026-07-01,427.0,427.0
MPARK,2026-07-02,420.25,420.25
MPARK,2026-07-03,426.5,426.5
MPARK,2026-07-06,423.0,423.0
MPARK,2026-07-07,424.75,424.75
MPARK,2026-07-08,413.0,413.0
MPARK,2026-07-09,414.0,414.0
MPARK,2026-07-10,421.75,421.75
MPARK,2026-07-13,415.5,415.5
MPARK,2026-07-14,413.0,413.0
MPARK,2026-07-16,429.5,429.5
MPARK,2026-07-17,415.5,415.5
MPARK,2026-07-20,428.5,428.5
MPARK,2026-07-21,410.0,410.0
MPARK,2026-07-22,407.75,407.75
MPARK,2026-07-23,410.0,410.0
MPARK,2026-07-24,402.25,402.25
MPARK,2026-07-27,397.5,397.5
MPARK,2026-07-28,402.0,402.0
MPARK,2026-07-29,403.75,403.75
MPARK,2026-07-30,400.25,400.25
MPARK,2026-07-31,405.0,405.0
MPARK,2026-08-03,402.25,402.25
MPARK,2026-08-04,411.25,411.25
MPARK,2026-08-05,406.0,406.0
MPARK,2026-08-06,400.0,400.0
MPARK,2026-08-07,426.75,426.75
MPARK,2026-08-10,429.25,429.25
MPARK,2026-08-11,423.0,423.0
MPARK,2026-08-12,432.25,432.25
MPARK,2026-08-13,430.0,430.0
MPARK,2026-08-14,438.25,438.25
MPARK,2026-08-17,438.0,438.0
MPARK,2026-08-18,438.0,438.0
MPARK,2026-08-19,442.75,442.75
MPARK,2026-08-20,444.0,444.0
MPARK,2026-08-21,445.0,445.0
MPARK,2026-08-24,445.25,445.25
MPARK,2026-08-25,440.0,440.0
MPARK,2026-08-26,437.25,437.25
MPARK,2026-08-27,434.0,434.0
MPARK,2026-08-28,434.0,434.0
MPARK,2026-08-31,421.0,421.0
MPARK,2026-09-01,413.5,413.5
MPARK,2026-09-02,412.25,412.25
MPARK,2026-09-03,416.0,416.0
MPARK,2026-09-04,426.75,426.75
MPARK,2026-09-08,427.0,427.0
