ticker,trade_date,close,adj_close
INTEM,2026-06-18,267.5,267.5
INTEM,2026-06-19,264.0,264.0
INTEM,2026-06-22,263.25,263.25
INTEM,2026-06-23,261.25,261.25
INTEM,2026-06-24,255.0,255.0
INTEM,2026-06-25,254.5,254.5
INTEM,2026-06-26,253.25,253.25
INTEM,2026-06-29,256.0,256.0
INTEM,2026-06-30,252.5,252.5
INTEM,2026-07-01,268.75,268.75
INTEM,2026-07-02,265.0,265.0
INTEM,2026-07-03,275.0,275.0
INTEM,2026-07-06,270.5,270.5
INTEM,2026-07-07,271.0,271.0
INTEM,2026-07-08,257.0,257.0
INTEM,2026-07-09,257.75,257.75
INTEM,2026-07-10,263.0,263.0
INTEM,2026-07-13,261.25,261.25
INTEM,2026-07-14,260.75,260.75
INTEM,2026-07-16,269.75,269.75
INTEM,2026-07-17,263.0,263.0
INTEM,2026-07-20,269.5,269.5
INTEM,2026-07-21,264.0,264.0
INTEM,2026-07-22,258.25,258.25
INTEM,2026-07-23,259.75,259.75
INTEM,2026-07-24,256.0,256.0
INTEM,2026-07-27,252.25,252.25
INTEM,2026-07-28,243.1999969482422,243.1999969482422
INTEM,2026-07-29,241.6999969482422,241.6999969482422
INTEM,2026-07-30,237.5,237.5
INTEM,2026-07-31,238.89999389648438,238.89999389648438
INTEM,2026-08-03,236.8000030517578,236.8000030517578
INTEM,2026-08-04,246.8000030517578,246.8000030517578
INTEM,2026-08-05,242.1999969482422,242.1999969482422
INTEM,2026-08-06,243.10000610351562,243.10000610351562
INTEM,2026-08-07,267.25,267.25
INTEM,2026-08-10,252.5,252.5
INTEM,2026-08-11,255.0,255.0
INTEM,2026-08-12,253.0,253.0
INTEM,2026-08-13,258.25,258.25
INTEM,2026-08-14,258.5,258.5
INTEM,2026-08-17,262.75,262.75
INTEM,2026-08-18,257.5,257.5
INTEM,2026-08-19,255.5,255.5
INTEM,2026-08-20,254.0,254.0
INTEM,2026-08-21,263.0,263.0
INTEM,2026-08-24,263.5,263.5
INTEM,2026-08-25,261.25,261.25
INTEM,2026-08-26,260.0,260.0
INTEM,2026-08-27,258.5,258.5
INTEM,2026-08-28,255.75,255.75
INTEM,2026-08-31,250.5,250.5
INTEM,2026-09-01,245.6999969482422,245.6999969482422
INTEM,2026-09-02,241.8000030517578,241.8000030517578
INTEM,2026-09-03,237.8000030517578,237.8000030517578
INTEM,2026-09-04,244.89999389648438,244.89999389648438
INTEM,2026-09-08,249.39999389648438,249.39999389648438
INTEM,2026-09-09,254.25,254.25
INTEM,2026-09-10,247.60000610351562,247.60000610351562
INTEM,2026-09-11,246.1999969482422,246.1999969482422
INTEM,2026-09-14,238.60000610351562,238.60000610351562
INTEM,2026-09-15,229.39999389648438,229.39999389648438
INTEM,2026-09-16,218.3000030517578,218.3000030517578
