ticker,yahoo_symbol,action_date,cash_dividend_per_share,split_factor
ASGYO,ASGYO.IS,2026-04-01,0.168319,0.0
ASTOR,ASTOR.IS,2023-05-02,0.529033,0.0
ASTOR,ASTOR.IS,2024-07-31,1.320483,0.0
ASTOR,ASTOR.IS,2025-08-18,1.512088,0.0
ASUZU,ASUZU.IS,2022-06-01,0.119041,0.0
ASUZU,ASUZU.IS,2023-05-29,0.793651,0.0
ASUZU,ASUZU.IS,2024-05-29,1.984127,0.0
ASUZU,ASUZU.IS,2025-05-26,1.984127,0.0
ASUZU,ASUZU.IS,2026-05-12,2.380952,0.0
AVPGY,AVPGY.IS,2024-04-17,0.7,0.0
AVPGY,AVPGY.IS,2024-05-29,0.7,0.0
AVPGY,AVPGY.IS,2024-07-22,0.7,0.0
AVPGY,AVPGY.IS,2025-04-25,1.5,0.0
AVPGY,AVPGY.IS,2025-07-09,1.5,0.0
AVPGY,AVPGY.IS,2025-10-14,1.9375,0.0
AVPGY,AVPGY.IS,2026-05-20,2.5,0.0
AVPGY,AVPGY.IS,2026-06-05,2.5,0.0
AYDEM,AYDEM.IS,2024-07-30,0.545756,0.0
AYGAZ,AYGAZ.IS,2021-04-07,0.5,0.0
AYGAZ,AYGAZ.IS,2022-04-06,0.5,0.0
AYGAZ,AYGAZ.IS,2023-03-27,1.0,0.0
AYGAZ,AYGAZ.IS,2024-04-04,6.85,0.0
AYGAZ,AYGAZ.IS,2025-04-02,12.55,0.0
AYGAZ,AYGAZ.IS,2026-03-16,12.55,0.0
BAGFS,BAGFS.IS,2023-07-10,0.12994,0.0
BALSU,BALSU.IS,2025-11-14,0.176259,0.0
BASGZ,BASGZ.IS,2022-01-14,0.25,0.0
BASGZ,BASGZ.IS,2022-04-04,0.79,0.0
BASGZ,BASGZ.IS,2022-07-06,0.2,0.0
BASGZ,BASGZ.IS,2023-05-04,1.16,0.0
BASGZ,BASGZ.IS,2023-10-11,0.45,0.0
BASGZ,BASGZ.IS,2024-06-12,2.2,0.0
BASGZ,BASGZ.IS,2024-10-16,0.8,0.0
BASGZ,BASGZ.IS,2025-07-18,2.0,0.0
BASGZ,BASGZ.IS,2026-06-18,2.0,0.0
BERA,BERA.IS,2022-07-20,0.05,0.0
BERA,BERA.IS,2023-09-18,0.05,0.0
BFREN,BFREN.IS,2021-01-05,0.124938,0.0
BFREN,BFREN.IS,2021-05-05,0.141382,0.0
BFREN,BFREN.IS,2022-06-15,0.294347,0.0
BFREN,BFREN.IS,2023-09-26,0.498191,0.0
BIMAS,BIMAS.IS,2020-10-14,0.4,0.0
BIMAS,BIMAS.IS,2021-01-08,1.0,0.0
BIMAS,BIMAS.IS,2021-05-20,1.0,0.0
BIMAS,BIMAS.IS,2021-11-17,1.0,0.0
BIMAS,BIMAS.IS,2022-06-15,0.75,0.0
BIMAS,BIMAS.IS,2022-12-14,0.75,0.0
BIMAS,BIMAS.IS,2023-06-14,1.0,0.0
BIMAS,BIMAS.IS,2023-12-20,1.5,0.0
BIMAS,BIMAS.IS,2024-07-17,1.0,0.0
BIMAS,BIMAS.IS,2024-10-02,2.0,0.0
BIMAS,BIMAS.IS,2024-12-18,2.0,0.0
BIMAS,BIMAS.IS,2025-06-18,2.0,0.0
BIMAS,BIMAS.IS,2025-09-17,2.0,0.0
BIMAS,BIMAS.IS,2025-12-17,2.5,0.0
BIMAS,BIMAS.IS,2026-06-17,2.0,0.0
BOBET,BOBET.IS,2022-03-31,0.144736,0.0
BOBET,BOBET.IS,2023-04-04,0.5,0.0
BOBET,BOBET.IS,2023-05-08,0.5,0.0
BOBET,BOBET.IS,2024-05-07,0.75,0.0
BOBET,BOBET.IS,2024-08-07,0.375,0.0
BOBET,BOBET.IS,2024-10-07,0.375,0.0
BOBET,BOBET.IS,2025-07-08,0.2,0.0
BRISA,BRISA.IS,2021-03-30,0.807,0.0
BRISA,BRISA.IS,2022-03-29,2.0279,0.0
BRISA,BRISA.IS,2023-03-29,3.6,0.0
BRISA,BRISA.IS,2024-04-24,3.394,0.0
BRISA,BRISA.IS,2025-03-28,2.1296,0.0
BRYAT,BRYAT.IS,2021-03-29,2.403777,0.0
BRYAT,BRYAT.IS,2022-04-21,5.708317,0.0
BRYAT,BRYAT.IS,2023-03-29,14.532763,0.0
BRYAT,BRYAT.IS,2024-04-18,46.1987,0.0
BRYAT,BRYAT.IS,2025-04-24,58.566593,0.0
BRYAT,BRYAT.IS,2026-04-08,166.14581,0.0
BUCIM,BUCIM.IS,2023-12-27,0.05,0.0
BUCIM,BUCIM.IS,2024-09-30,0.066667,0.0
BUCIM,BUCIM.IS,2025-06-18,0.066667,0.0
CCOLA,CCOLA.IS,2021-02-18,0.150909,0.0
CCOLA,CCOLA.IS,2021-05-27,0.179091,0.0
CCOLA,CCOLA.IS,2022-05-18,0.214545,0.0
CCOLA,CCOLA.IS,2023-05-22,0.268045,0.0
CCOLA,CCOLA.IS,2024-05-27,0.714782,0.0
CCOLA,CCOLA.IS,2025-05-26,1.0722,0.0
CCOLA,CCOLA.IS,2026-05-12,1.43,0.0
CEMTS,CEMTS.IS,2021-01-11,0.007795,0.0
CEMTS,CEMTS.IS,2021-05-05,0.035638,0.0
CEMTS,CEMTS.IS,2022-05-16,0.056097,0.0
CEMTS,CEMTS.IS,2023-05-29,0.100976,0.0
CEMTS,CEMTS.IS,2024-04-29,0.15,0.0
CEMTS,CEMTS.IS,2025-05-28,0.22,0.0
CEMTS,CEMTS.IS,2026-06-24,0.3,0.0
CIMSA,CIMSA.IS,2022-03-31,0.211508,0.0
CIMSA,CIMSA.IS,2023-04-03,0.423016,0.0
CIMSA,CIMSA.IS,2024-04-29,1.05754,0.0
CIMSA,CIMSA.IS,2025-04-02,0.634524,0.0
CIMSA,CIMSA.IS,2026-04-01,0.740278,0.0
CLEBI,CLEBI.IS,2020-08-31,1.975,0.0
CLEBI,CLEBI.IS,2021-01-04,2.375,0.0
CLEBI,CLEBI.IS,2022-04-27,6.75,0.0
CLEBI,CLEBI.IS,2023-04-17,42.4,0.0
CLEBI,CLEBI.IS,2024-04-24,63.0,0.0
CLEBI,CLEBI.IS,2025-04-24,147.5,0.0
CLEBI,CLEBI.IS,2026-04-24,103.0,0.0
CWENE,CWENE.IS,2024-08-29,0.087953,0.0
DEVA,DEVA.IS,2021-04-12,0.1,0.0
DEVA,DEVA.IS,2022-04-11,0.15,0.0
DEVA,DEVA.IS,2023-05-08,0.15,0.0
DEVA,DEVA.IS,2024-06-25,0.25,0.0
DOAS,DOAS.IS,2021-04-27,1.363636,0.0
DOAS,DOAS.IS,2021-07-12,1.363636,0.0
DOAS,DOAS.IS,2022-04-08,5.681818,0.0
DOAS,DOAS.IS,2022-11-14,4.090909,0.0
DOAS,DOAS.IS,2023-04-06,9.090909,0.0
DOAS,DOAS.IS,2023-08-24,11.363636,0.0
DOAS,DOAS.IS,2023-11-24,5.681818,0.0
DOAS,DOAS.IS,2024-04-19,40.909092,0.0
DOAS,DOAS.IS,2024-09-02,10.0,0.0
DOAS,DOAS.IS,2025-05-20,27.272726,0.0
DOAS,DOAS.IS,2026-04-13,15.0,0.0
DOHOL,DOHOL.IS,2021-04-28,0.068782,0.0
DOHOL,DOHOL.IS,2022-06-02,0.126102,0.0
DOHOL,DOHOL.IS,2022-11-30,0.111199,0.0
DOHOL,DOHOL.IS,2023-05-08,0.072604,0.0
DOHOL,DOHOL.IS,2023-06-16,0.185331,0.0
DOHOL,DOHOL.IS,2024-07-08,0.05,0.0
DOHOL,DOHOL.IS,2025-09-01,0.305694,0.0
ECILC,ECILC.IS,2021-04-26,0.22,0.0
ECILC,ECILC.IS,2022-05-24,0.292,0.0
ECILC,ECILC.IS,2023-04-25,0.41,0.0
ECILC,ECILC.IS,2024-06-05,1.18,0.0
ECILC,ECILC.IS,2025-05-14,1.75116,0.0
