ticker
ADEL
ADESE
AEFES
AFYON
AGHOL
AGROT
AHGAZ
AKBNK
AKCNS
AKFGY
AKFYE
AKSA
AKSEN
ALARK
ALBRK
ALFAS
ALGYO
ALKIM
ALTNY
ANHYT
ANSGR
ARASE
ARCLK
ARDYZ
ASELS
ASGYO
ASTOR
ASUZU
AVPGY
AYDEM
AYGAZ
BAGFS
BALSU
BASGZ
BERA
BFREN
BIENY
BIMAS
BINHO
BIOEN
BJKAS
BOBET
BRISA
BRSAN
BRYAT
BSOKE
BTCIM
BUCIM
CANTE
CCOLA
CEMAS
CEMTS
CIMSA
CLEBI
CVKMD
CWENE
DAPGM
DEVA
DOAS
DOHOL
DSTKF
ECILC
ECZYT
EFOR
EFORC
EGEEN
EGGUB
EKGYO
ENERY
ENJSA
ENKAI
ERBOS
EREGL
ESEN
EUPWR
EUREN
FENER
FROTO
GARAN
GENIL
GESAN
GLRMK
GLYHO
GOLTS
GOZDE
GRSEL
GRTHO
GSDHO
GSRAY
GUBRF
GWIND
HALKB
HDFGS
HEKTS
HLGYO
IEYHO
IHLAS
IHLGM
IMASM
INDES
INVES
IPEKE
ISCTR
ISDMR
ISFIN
ISGYO
ISMEN
IZENR
IZMDC
JANTS
KARSN
KARTN
KAYSE
KCAER
KCHOL
KERVT
KLRHO
KLSER
KMPUR
KONTR
KONYA
KORDS
KOZAA
KOZAL
KRDMD
KRVGD
KTLEV
KUTPO
KUYAS
KZBGY
LIDER
LMKDC
LOGO
MAGEN
MAVI
MGROS
MIATK
MPARK
NETAS
NTHOL
NUGYO
NUHCM
OBAMS
ODAS
ODINE
OTKAR
OYAKC
PAHOL
PAPIL
PARSN
PASEU
PATEK
PEKGY
PENTA
PETKM
PGSUS
PRKAB
PSGYO
QUAGR
RALYH
REEDR
RGYAS
RTALB
RYGYO
SAHOL
SARKY
SASA
SAYAS
SDTTR
SELEC
SISE
SKBNK
SMRTG
SNGYO
SOKM
TABGD
TATEN
TAVHL
TCELL
THYAO
TKFEN
TKNSA
TMSN
TOASO
TRALT
TRENJ
TRGYO
TRILC
TRMET
TSKB
TSPOR
TTKOM
TTRAK
TUKAS
TUPRS
TUREX
TURSG
ULKER
ULUUN
VAKBN
VERUS
VESBE
VESTL
YATAS
YEOTK
YKBNK
YYLGD
ZOREN
ZRGYO
