trade_date,ticker,open,close,source,source_url,archive_sha256,member,member_sha256
2022-07-01,INVES,37,37.14,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2022/07/thb202207011.zip,12aee75eab38cdb846739d13033e0a696f3f199e2c3e8e84af51f640b2736ec5,thb202207011.csv,f46d2082d8a43b235f82453cacec051b7e1efa7af3669457c4158565d12eada3
2022-08-01,INVES,40.28,40.34,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2022/08/thb202208011.zip,96ef862854b5125a8016e34e284a447e2621ea2477636f3357e4d8b0fa4a91c5,thb202208011.csv,a949a636160ec426612622313d014cb98d9fd4e1eb4dd6f2880bf9e78de35f0c
2022-09-01,INVES,41.4,41.42,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2022/09/thb202209011.zip,869c68c12109c1aac7192a266a33bb1012c68629682c22a22b841d88258a06d9,thb202209011.csv,71880b4af5f0aed4517bc5f377902529e1ac2c8419515886c1364763831defc9
2023-01-02,KLRHO,27.3,26.5,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2023/01/thb202301021.zip,bce2d568ee009f184ae216f1df6705e27cdde1d7e0aefeb7a5cebc0ae09f706b,thb202301021.csv,b38e4ccdf54083b73657ee4aaa44c3ceae4ce9ae618b0d8b3face825b3a5b96d
2023-02-01,KLRHO,24.88,22.42,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2023/02/thb202302011.zip,6ebbbe2bdccb7ab6e7b8644be247eec4f2d68513f5a4a7956f0d3685a4f5686c,thb202302011.csv,bb6bee2d91ca27f518aaf5a720758c10748e296b324540d82a0be9deb9a09ada
2023-03-01,KLRHO,21.18,20.24,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2023/03/thb202303011.zip,fac0614edc5492f205967d801d0f8aed90f3298167f923cb9b983fbc4c7372c8,thb202303011.csv,a83a1a9b0f7f4f664909427c3af89bde5e0b4c0afe9b20365e63ee0cb52f40f9
2023-04-03,KLRHO,27,27.26,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2023/04/thb202304031.zip,f9a015250259cbe120dfbdab53ed018ef173113a25a41fd75c870b7d6b8e9366,thb202304031.csv,7e109efe7684dfa915b3c8e7469afee3eb123205d6599aa0d12b7a6812232b9e
2023-05-02,KLRHO,25,22.3,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2023/05/thb202305021.zip,c27d74854c3054dcd12b7fac1897bc96f7d0830686886b28e1fe25105d6788b2,thb202305021.csv,aa5b0cb86c108dc7de0d57cb9fc4924824f92c50b5e77969c6ba1d52e837d9d1
2023-06-01,KLRHO,35,36.06,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2023/06/thb202306011.zip,be155ba958ea562ea66f88ac8d77a536a9b59829c91dcbb030a17f5b0a22dd1b,thb202306011.csv,9ee1b67a9c446c77c354cf5664b0bf6c2044296cc2a2c29ec523333958c6a6d2
2024-01-02,ASGYO,14.52,14.7,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2024/01/thb202401021.zip,2f69aebbd7e5370d0d85880be082980bb38ba9b0c2428e94760f75d241307bbd,thb202401021.csv,984477e580df1e9aed2645bf1316ee2377487cb3264281ebc47f3f753965885d
2024-02-01,ASGYO,16.24,16.47,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2024/02/thb202402011.zip,6cea64edab52be5b0145b97874e5535c11cac6e1d18a36127326b226f3a97e6a,thb202402011.csv,5a5d240c14b1f4a2f0c9e4c844717189a37e4e8d86708f3e88515e0728d40ce7
2024-03-01,ASGYO,15.69,15.82,BORSA_ISTANBUL_THB,https://borsaistanbul.com/data/thb/2024/03/thb202403011.zip,19d42084b38a84164a7ec02abefb229cb2f0d0b802608bc92e51a504b1a4d5fb,thb202403011.csv,ce21b126acdb728a67a1506146c73652fcb3a51fbda56920b918dc92a2cd70e9
