ticker,entry_date,exit_date,entry_price,exit_price,exit,return,days_held,xu100_same_days
TCELL,2025-02-03,2025-03-24,101.52662658691406,86.143798828125,IZ_SUREN_STOP,-0.1515152061673226,49,-0.04859633133666086
ARCLK,2025-03-03,2025-04-29,127.5999984741211,116.4000015258789,IZ_SUREN_STOP,-0.08777427180388009,57,-0.0692455763473836
PGSUS,2025-03-03,2025-05-02,247.1999969482422,232.8999938964844,IZ_SUREN_STOP,-0.05784790949957763,60,-0.07501690319979393
THYAO,2025-02-03,2025-06-16,306.4974060058594,262.5448303222656,IZ_SUREN_STOP,-0.1434027656428306,133,-0.04341958316257011
DOAS,2025-04-02,2025-06-20,167.7845458984375,143.30084228515625,IZ_SUREN_STOP,-0.14592347276191697,79,-0.03359123629658711
MGROS,2025-03-11,2025-09-10,507.6264343261719,428.2053527832031,IZ_SUREN_STOP,-0.15645576386973037,183,0.014178554244393071
TTKOM,2025-06-02,2025-09-15,54.95000076293945,52.0,IZ_SUREN_STOP,-0.05368518147371992,105,0.22104800005723502
EREGL,2025-03-03,2025-11-11,21.990324020385746,24.151609420776367,IZ_SUREN_STOP,0.09828347223929224,253,0.06713688862491018
ULKER,2025-12-01,2026-03-13,106.79745483398438,103.65914916992188,IZ_SUREN_STOP,-0.0293855847870248,102,0.17778980709980652
ALARK,2025-12-01,2026-03-16,92.9000015258789,89.0999984741211,IZ_SUREN_STOP,-0.040904230240504935,105,0.16553773177821252
TTKOM,2025-12-01,2026-03-25,57.34999847412109,58.79999923706055,IZ_SUREN_STOP,0.025283361839909535,114,0.16618543522016815
TUREX,2026-04-01,2026-05-22,7.820000171661377,8.0600004196167,IZ_SUREN_STOP,0.0306905681185341,51,0.06726746832261377
TCELL,2025-06-02,2026-06-01,87.48979949951172,102.5999984741211,IZ_SUREN_STOP,0.17270812210163666,364,0.521162340107667
TUPRS,2025-08-01,2026-06-24,153.2460479736328,216.8000030517578,IZ_SUREN_STOP,0.4147183951462159,327,0.3335070433900158
ENKAI,2025-04-02,2026-07-10,55.92452239990234,90.3000030517578,IZ_SUREN_STOP,0.6146763383341025,464,0.5038065049956115
DOHOL,2025-04-02,2026-07-30,15.87371826171875,21.26000022888184,ACIK,0.3393207488224552,484,0.3958292465057176
AKSEN,2025-08-01,2026-07-30,41.34000015258789,97.0,ACIK,1.3463957339615003,363,0.2368940532823114
MGROS,2025-12-01,2026-07-30,525.4473266601562,623.0,ACIK,0.1856564271815926,241,0.19578108133180416
EREGL,2026-03-02,2026-07-30,31.07744026184082,42.400001525878906,ACIK,0.3643337793795316,150,-0.0040085714825085494
KCHOL,2026-04-01,2026-07-30,195.8000030517578,191.5,ACIK,-0.021961200126340952,120,0.027438764349835276
ENERY,2026-06-01,2026-07-30,8.789999961853027,9.119999885559082,ACIK,0.037542653599339504,59,-0.02999851206764448
THYAO,2026-07-01,2026-07-30,328.5,308.25,ACIK,-0.06164383561643838,29,-0.07370418292898528
