ticker,company_name,sector_index_code,sector_code,is_active,kap_company_id,source_url,universe_source
QUFIN,QUICK FİNANSMAN A.Ş.,,,True,5613,https://kap.org.tr/tr/sirket-bilgileri/ozet/5613-quick-finansman-a-s,KAP_PUBLIC_BIST_COMPANIES
QUICK,QUİCK SİGORTA A.Ş.,,,True,6264,https://kap.org.tr/tr/sirket-bilgileri/ozet/6264-quick-sigorta-a-s,KAP_PUBLIC_BIST_COMPANIES
QYATB,Q YATIRIM BANKASI A.Ş.,,,True,6002,https://kap.org.tr/tr/sirket-bilgileri/ozet/6002-q-yatirim-bankasi-a-s,KAP_PUBLIC_BIST_COMPANIES
QYHOL,Q YATIRIM HOLDİNG A.Ş.,,,True,5667,https://kap.org.tr/tr/sirket-bilgileri/ozet/5667-q-yatirim-holding-a-s,KAP_PUBLIC_BIST_COMPANIES
RALYH,RAL YATIRIM HOLDİNG A.Ş.,,,True,883,https://kap.org.tr/tr/sirket-bilgileri/ozet/883-ral-yatirim-holding-a-s,KAP_PUBLIC_BIST_COMPANIES
RAYSG,RAY SİGORTA A.Ş.,,,True,1063,https://kap.org.tr/tr/sirket-bilgileri/ozet/1063-ray-sigorta-a-s,KAP_PUBLIC_BIST_COMPANIES
REEDR,REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.,,,True,5866,https://kap.org.tr/tr/sirket-bilgileri/ozet/5866-reeder-teknoloji-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
RGYAS,RÖNESANS GAYRİMENKUL YATIRIM A.Ş.,,,True,1548,https://kap.org.tr/tr/sirket-bilgileri/ozet/1548-ronesans-gayrimenkul-yatirim-a-s,KAP_PUBLIC_BIST_COMPANIES
RNPOL,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,,,True,5418,https://kap.org.tr/tr/sirket-bilgileri/ozet/5418-rainbow-polikarbonat-sanayi-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
RODRG,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,,,True,1998,https://kap.org.tr/tr/sirket-bilgileri/ozet/1998-rodrigo-tekstil-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
RTALB,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,,,True,2258,https://kap.org.tr/tr/sirket-bilgileri/ozet/2258-rta-laboratuvarlari-biyolojik-urunler-ilac-ve-makine-sanayi-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
RUBNS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,,,True,5478,https://kap.org.tr/tr/sirket-bilgileri/ozet/5478-rubenis-tekstil-sanayi-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
RUZYE,RUZY MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,,,True,853,https://kap.org.tr/tr/sirket-bilgileri/ozet/853-ruzy-madencilik-ve-enerji-yatirimlari-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
RYGYO,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,1514,https://kap.org.tr/tr/sirket-bilgileri/ozet/1514-reysas-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
RYSAS,REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,,,True,1415,https://kap.org.tr/tr/sirket-bilgileri/ozet/1415-reysas-tasimacilik-ve-lojistik-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SAFKR,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,,,True,4550,https://kap.org.tr/tr/sirket-bilgileri/ozet/4550-safkar-ege-sogutmacilik-klima-soguk-hava-tesisleri-ihracat-ithalat-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SAHOL,HACI ÖMER SABANCI HOLDİNG A.Ş.,,,True,976,https://kap.org.tr/tr/sirket-bilgileri/ozet/976-haci-omer-sabanci-holding-a-s,KAP_PUBLIC_BIST_COMPANIES
SAMAT,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.,,,True,1552,https://kap.org.tr/tr/sirket-bilgileri/ozet/1552-saray-matbaacilik-kagitcilik-kirtasiyecilik-ticaret-ve-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SANEL,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,,,True,2068,https://kap.org.tr/tr/sirket-bilgileri/ozet/2068-san-el-muhendislik-elektrik-taahhut-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SANFM,SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,,,True,1578,https://kap.org.tr/tr/sirket-bilgileri/ozet/1578-sanifoam-endustri-ve-tuketim-urunleri-sanayi-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SANKO,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.,,,True,1066,https://kap.org.tr/tr/sirket-bilgileri/ozet/1066-sanko-pazarlama-ithalat-ihracat-a-s,KAP_PUBLIC_BIST_COMPANIES
SARAE,ŞA-RA ENERJİ İNŞAAT TİCARET VE SANAYİ A.Ş.,,,True,6246,https://kap.org.tr/tr/sirket-bilgileri/ozet/6246-sa-ra-enerji-insaat-ticaret-ve-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SARKY,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,,,True,1067,https://kap.org.tr/tr/sirket-bilgileri/ozet/1067-sarkuysan-elektrolitik-bakir-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SARTN,SARTEN AMBALAJ SANAYİ VE TİCARET A.Ş.,,,True,1688,https://kap.org.tr/tr/sirket-bilgileri/ozet/1688-sarten-ambalaj-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SASA,SASA POLYESTER SANAYİ A.Ş.,,,True,1068,https://kap.org.tr/tr/sirket-bilgileri/ozet/1068-sasa-polyester-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SAYAS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,,,True,1983,https://kap.org.tr/tr/sirket-bilgileri/ozet/1983-say-yenilenebilir-enerji-ekipmanlari-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
SDTTR,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.,,,True,5686,https://kap.org.tr/tr/sirket-bilgileri/ozet/5686-sdt-uzay-ve-savunma-teknolojileri-a-s,KAP_PUBLIC_BIST_COMPANIES
SEGMN,SEĞMEN KARDEŞLER GIDA ÜRETİM VE AMBALAJ SANAYİ A.Ş.,,,True,5976,https://kap.org.tr/tr/sirket-bilgileri/ozet/5976-segmen-kardesler-gida-uretim-ve-ambalaj-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SEGYO,ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,5071,https://kap.org.tr/tr/sirket-bilgileri/ozet/5071-seker-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
SEK,ŞEKERBANK T.A.Ş.,,,True,2418,https://kap.org.tr/tr/sirket-bilgileri/ozet/2418-sekerbank-t-a-s,KAP_PUBLIC_BIST_COMPANIES
SEKFK,ŞEKER FİNANSAL KİRALAMA A.Ş.,,,True,1392,https://kap.org.tr/tr/sirket-bilgileri/ozet/1392-seker-finansal-kiralama-a-s,KAP_PUBLIC_BIST_COMPANIES
SEKUR,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,,,True,2050,https://kap.org.tr/tr/sirket-bilgileri/ozet/2050-sekuro-plastik-ambalaj-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SELEC,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.,,,True,1420,https://kap.org.tr/tr/sirket-bilgileri/ozet/1420-selcuk-ecza-deposu-ticaret-ve-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
SELVA,SELVA GIDA SANAYİ A.Ş.,,,True,5362,https://kap.org.tr/tr/sirket-bilgileri/ozet/5362-selva-gida-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
