hisse,islem,tarih,kapanis_fiyati_tl,pay,neden,skor_yuzdelik,pddd,pddd_yuzdelik,bilanco_donemi,bilanco_yayim,getiri_alistan
EREGL,SAT,2026-05-11,40.86,0.5,KAR_AL_YARISI,,,,,,0.2971
EREGL,ACIK,2026-07-30,42.4,0.5,ACIK,,,,,,0.3643
KCHOL,AL,2026-04-01,195.8,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.905,0.77,0.194,2025-09-30,2025-11-06 18:15:22+03:00,
KCHOL,ACIK,2026-07-30,191.5,1.0,ACIK,,,,,,-0.022
TUREX,AL,2026-04-01,7.82,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.919,1.11,0.387,2025-09-30,2025-11-10 22:04:43+03:00,
TUREX,SAT,2026-05-22,8.06,1.0,IZ_SUREN_STOP,,,,,,0.0307
ENERY,AL,2026-06-01,8.79,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.96,1.34,0.419,2026-03-31,2026-05-11 18:30:08+03:00,
ENERY,ACIK,2026-07-30,9.12,1.0,ACIK,,,,,,0.0375
THYAO,AL,2026-07-01,328.5,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.946,0.47,0.067,2026-03-31,2026-04-29 18:20:52+03:00,
THYAO,ACIK,2026-07-30,308.25,1.0,ACIK,,,,,,-0.0616
