ticker
SKYLP
SKYMD
SMART
SMRTG
SMRVA
SNGYO
SNICA
SNPAM
SODSN
SOHOE
SOKE
SOKM
SONME
SRVGY
SSAAT
SUMAS
SUNTK
SURGY
SUWEN
SVGYO
TABGD
TARKM
TATEN
TATGD
TAVHL
TBORG
TCELL
TCKRC
TDGYO
TEHOL
TEKTU
TERA
TEZOL
TGSAS
THYAO
TKFEN
TKNKA
TKNSA
TLMAN
TMPOL
TMSN
TNZTP
TOASO
TRALT
TRCAS
TRENJ
TRGYO
TRHOL
TRILC
TRMET
TSGYO
TSKB
TSPOR
TTKOM
TTRAK
TUCLK
TUKAS
TUPRS
TUREX
TURGG
TURSG
UCAYM
UFUK
ULAS
ULKER
ULUFA
ULUSE
ULUUN
UNLU
USAK
VAKBN
VAKFA
VAKFN
VAKKO
VANGD
VBTYZ
VERTU
VERUS
VESBE
VESTL
VEYAS
VKFYO
VKGYO
VKING
VRGYO
VSNMD
YAPRK
YATAS
YAYLA
YBTAS
YEOTK
YESIL
YGGYO
YIGIT
YKBNK
YKSLN
YONGA
YUNSA
YYAPI
YYLGD
ZEDUR
ZERGY
ZGYO
ZOREN
ZRGYO
